# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    objtype = 'G' AND modbest between 26.5 AND 35.4 AND de2000>-30.0 AND -(modbest-bt)<-20

# Display the fields:              objname, al2000, de2000, l2, b2, ag, bve, t, type, v, e_v, (v/70), bt, e_bt, -(modbest-bt), it, e_it, ut, vt, modbest, e_modbest, 10*(10^(modbest/5))/1E6, logd25, hl_names(pgc)
# Order by:                        bt
# Description of each column
# objname: ------------- <NA>
#  al2000: ------------- <NA>
#  de2000: ------------- <NA>
#  l2: ----------------- <NA>
#  b2: ----------------- <NA>
#  ag: ----------------- <NA>
#  bve: ---------------- <NA>
#  t: ------------------ <NA>
#  type: --------------- <NA>
#  v: ------------------ <NA>
#  e_v: ---------------- <NA>
#  (v/70): ------------- <NA>
#  bt: ----------------- <NA>
#  e_bt: --------------- <NA>
#  -(modbest-bt): ------ <NA>
#  it: ----------------- <NA>
#  e_it: --------------- <NA>
#  ut: ----------------- <NA>
#  vt: ----------------- <NA>
#  modbest: ------------ <NA>
#  e_modbest: ---------- <NA>
#  10*(10^(modbest/5))/1E6:  <NA>
#  logd25: ------------- <NA>
#  hl_names(pgc): ------ <NA>
#-------|-------|-------|---|---|---|----|--|-----|--|----|-------|---|-----|--------------|---|-----|---|---|--------|----------|------------------------|-------|--------------
objname| al2000| de2000| l2| b2| ag| bve| t| type| v| e_v| (v/70)| bt| e_bt| -(modbest-bt)| it| e_it| ut| vt| modbest| e_modbest| 10*(10^(modbest/5))/1E6| logd25| hl_names(pgc)
NGC4753|12.8727724|-1.1995791|303.4209369|61.6712817|0.144|0.985|-1.3|S0-a|1242.8|73.4|17.7542864118304|10.572|0.165|-20.928|8.693|0.22|11.751|9.664|31.5|0.14|19.9526231496888|1.812|2MASXJ12522211-0111588,CGCG015-029,EVCC2237,IRAS12498-0055,LGG315:[G93]003,MCG+00-33-016,NGC4753,PGC043671,SDSSJ125222.06-011158.4,UGC08009,UZC124948-00560,[FN2007]1275
NGC1395|3.6415844|-23.0274404|216.2115164|-52.1207016|0.1|0.985|-4.9|E|1701.4|12.4|24.3057146344866|10.598|0.159|-21.289|9.05|0.071|11.178|9.655|31.887|0.16|23.8451372237126|1.683|2MASXJ03382978-2301396,6dFJ0338297-230139,ESO482-019,ESOLV4820190,LGG097:[G93]009,MCG-04-09-039,NGC1395,PGC013419
NGC4125|12.1349915|65.1741769|130.1898211|51.3390977|0.082|0.935|-4.8|E|1389|27.1|19.8428571428571|10.639|0.083|-21.234|||11.129|9.709|31.873|0.234|23.6918971292632|1.769|2MASXJ12080601+6510268,CGCG315-019,IRAS12055+6527,IRAS12056+6527,LGG274:[G93]002,MCG+11-15-027,NGC4125,PGC038524,SDSSJ120805.88+651027.5,UGC07118,UZC120536+65270
NGC4552|12.5944027|12.5562424|287.9332108|74.9667268|0.178|1|-4.6|E|323.1|4.1|4.61571437290737|10.678|0.086|-20.299|9.05|0.175|12.119|10.078|30.977|0.047|15.6819424799494|1.91|2MASXJ12353988+1233217,ACSVCS010,CGCG070-184,EVCC2176,M89,MCG+02-32-149,MESSIER089,NGC4552,PGC041968,SDSSJ123539.80+123322.8,UGC07760,UZC123306+12500,VCC1632,[RG2008]J188.91587+12.55634,[TH2002]009
NGC4494|12.5233417|25.7749722|228.5963267|85.3157841|0.09|0.91|-4.8|E|1320.1|13.2|18.8585710797991|10.683|0.088|-20.431|||11.133|9.803|31.114|0.137|16.7032147229697|1.638|2MASXJ12312403+2546299,CGCG129-005,GIN784,LGG294:[G93]001,MCG+04-30-002,NGC4494,PGC041441,UGC07662,UZC122854+26030
NGC1407|3.6699767|-18.5804571|209.6364676|-50.3836936|0.296|1.03|-4.5|E|1791.4|12.3|25.5914289202009|10.692|0.186|-21.527|8.755|0.075||9.646|32.219|0.243|27.7843572197159|1.777|2MASXJ03401190-1834493,ESO548-067,ESOLV5480670,LGG100:[G93]004,MCG-03-10-030,NGC1400_GROUP:[FS90]055,NGC1407,NGC1407:[TT2002]01,PGC013505
NGC5033|13.2243086|36.5937669|98.0590961|79.4480041|0.05|0.75|5|Sc|875.7|3|12.5100001743862|10.699|0.128|-20.141|8.833|0.117||10.684|30.84|0.09|14.7231260589112|1.993|2MASXJ13132753+3635371,CGCG189-043,IRAS13111+3651,LGG334:[G93]005,MCG+06-29-062,NGC5033,NIBLES1815,PGC045948,SDSSJ131327.49+363538.0,UGC08307,UZC131112+36510
NGC0772|1.9887735|19.0076151|144.3883528|-41.0184463|0.314|0.865|3.1|Sb|2460.4|2.1|35.1485700334821|10.706|0.538|-22.064|9.219|0.157|10.966|10.299|32.77|0.442|35.8096512592224|1.66|2MASXJ01591958+1900271,AGC001466,ARP078,CGCG461-018,HIPASSJ0159+18,IRAS01565+1845,KIG0080,LAMOSTJ015919.55+190027.6,LGG040:[G93]002,MCG+03-06-011,NGC0772,PGC007525,UGC01466,UZC015630+18460
NGC3631|11.3508|53.169556|149.5307966|59.0392565|0.071|0.61|5.1|Sc|1163.2|3.5|16.6171421595982|10.711|0.315|-20.807||||10.421|31.518|0.785|20.118700699921|1.57|2MASXJ11210294+5310099,ARP027,CGCG268-021,IRAS11181+5326,IRAS11182+5326,LGG241:[G93]001,MCG+09-19-047,NGC3631,NIBLES1222,PGC034767,SDSSJ112102.88+531010.4,UGC06360,UZC111812+53270,VV363
NGC5866|15.1081989|55.7632193|92.033958|52.4892837|0.058|0.925|-1.3|S0-a|674.4|9.7|9.63428606305804|10.736|0.082|-20.059|9.229|0.356|11.116|11.271|30.795|0.141|14.421154021931|1.8|2MASXJ15062956+5545479,CGCG274-016,EGISJ150629.4+554547,EONJ226.622+55.763,IRAS15051+5557,LGG396:[G93]001,MCG+09-25-017,MESSIER102,NGC5866,PGC053933,UGC09723,UZC150506+55570
NGC0613|1.5717204|-29.4184424|229.0771079|-80.292381|0.084|0.78|4|Sbc|1483.5|3|21.1928571428571|10.743|0.107|-21.247|8.93|0.071|10.803|10.35|31.99|0.347|25.0034509815009|1.731|2MASXJ01341823-2925065,6dFJ0134182-292506,DUKST413-001,ESO413-011,ESOLV4130110,HIPASSJ0134-29,IRAS01319-2940,MCG-05-04-044,NGC0613,PGC005849,VV824
NGC3923|11.8504884|-28.8059533|287.2757322|32.2226731|0.35|1.045|-4.8|E|1550|15.3|22.1428571428571|10.762|0.16|-20.75|8.545|0.075|11.372|9.602|31.512|0.108|20.0631826118947|1.88|2MASXJ11510178-2848223,6dFJ1151017-284821,ESO440-017,ESOLV4400170,FLASHJ115102.11-284823.3,LGG255:[G93]003,MCG-05-28-012,NGC3923,PGC037061
NGC5247|13.6341998|-17.8840462|318.3231193|43.5902612|0.385|0.63|4.1|SABb|1356.7|1.9|19.3814278738839|10.767|0.392|-20.75|||10.657|10.41|31.517|0.801|20.1094429159513|1.726|2MASXJ13380303-1753025,AGC029924,ESO577-014,ESOLV5770140,HIPASSJ1338-17,IRAS13353-1737,MCG-03-35-011,NGC5247,PGC048171,UGCA368
NGC3585|11.2214161|-26.7548771|277.2463762|31.1754499|0.276|0.995|-4.8|E|1371.2|22.9|19.5885707310268|10.814|0.2|-20.673|||11.334|9.692|31.487|0.18|19.8335247438763|1.82|2MASXJ11131710-2645179,6dFJ1113171-264518,ESO502-025,ESOLV5020250,LGG230:[G93]004,MCG-04-27-004,NGC3585,PGC034160
NGC4450|12.4748655|17.0848985|273.9104476|78.641969|0.121|0.905|2.4|Sab|1954.2|3.3|27.9171421595982|10.815|0.075|-20.415|9.188|0.26|12.14|10.87|31.23|0.675|17.6197567497309|1.737|2MASXJ12282963+1705058,AGC007594,CGCG099-062,EVCC2124,IRAS12259+1721,MCG+03-32-048,NGC4450,PGC041024,SDSSJ122829.58+170506.0,UGC07594,UZC122554+17210,VCC1110
NGC2768|9.1937368|60.0373225|155.4946526|40.5634016|0.198|0.96|-4.4|E|1397.8|11.2|19.9685721261161|10.818|0.121|-20.924|8.73|0.1|11.278|11.069|31.742|0.226|22.3048915497037|1.751|2MASXJ09113750+6002139,CGCG288-026,LGG167:[G93]003,MCG+10-13-065,NGC2768,PGC025915,PGC2597211,SDSSJ091137.39+600214.8,UGC04821,UZC090742+60150
NGC0908|2.3845939|-21.2338217|202.1391587|-68.3224768|0.108|0.76|5.1|SABc|1507.3|1.9|21.5328578404018|10.82|0.073|-20.436|9.308|0.095|10.82|10.314|31.256|0.094|17.8320019826737|1.788|2MASXJ02230456-2114018,6dFJ0223046-211402,AGC021831,ESO545-011,ESOLV5450110,HIPASSJ0223-21,IRAS02207-2127,LGG056:[G93]006,MCG-04-06-035,NGC0908,PGC009057,UGCA029
NGC3893|11.8106075|48.7107662|148.1551485|65.227455|0.092|0.89|5.1|SABc|961.8|6.2|13.7399998256138|10.824|0.248|-20.461|9.686|0.036||10.63|31.285|0.327|18.0717399902203|1.43|2MASXJ11483820+4842388,CGCG243-008,IRAS11460+4859,KPG302A,LGG258:[G93]016,MCG+08-22-007,NGC3893,PGC036875,PGC2323609,UGC06778,UZC114600+48590
NGC4038|12.0313932|-18.8682165|286.9589455|42.4613953|0.201|0.705|8.9|SBm|1634|6.8|23.3428571428571|10.85|0.109|-21.095|9.47|0.093|10.66|10.2|31.945|0.044|24.4906289765675|1.734|2MASXJ12015300-1852033,6dFJ1201530-185204,ARP244:,ESO572-047,ESOLV5720470,ESOLV5720481,HIPASSJ1201-18,IRAS11593-1835,LGG263:[G93]008,MCG-03-31-014,MRC1159-185,NGC4038,PGC037967,UGCA264,VV245:
NGC3607|11.2818445|18.0518559|230.5995552|66.422319|0.091|0.93|-3.2|E-S0|930.1|3.1|13.2871425083705|10.931|0.17|-20.836|||11.411|10.001|31.767|0.17|22.5631660574292|1.662|2MASXJ11165465+1803065,CGCG096-021,KPG278A,MCG+03-29-020,NGC3607,PGC034426,UGC06297,UZC111418+18190
NGC4548|12.5906909|14.4960731|285.6941751|76.8294022|0.165|0.88|3.1|Sb|481.1|2.4|6.87285723005022|10.935|0.065|-20.034|9.193|0.21|11.891|10.964|30.969|0.033|15.6242785346481|1.744|2MASXJ12352642+1429467,AGC007753,ALFALFA1-361,CGCG099-096,EVCC2174,HIPASSJ1235+14,IRAS12328+1446,IRAS12329+1446,MCG+03-32-075,MESSIER091,NGC4548,PGC041934,PGC3096162,SDSSJ123526.44+142946.7,UGC07753,UZC123254+14460,VCC1615,[RG2008]J188.86022+14.49634
NGC0988|2.5910332|-9.3559501|181.9584954|-59.6962533|0.117|0.475|5.9|Sc|1505.9|2.6|21.5128574916295|10.939|0.736|-20.045|7.03|0.1|10.769|11.205|30.984|0.221|15.7325764374282|1.636|2MASXJ02352772-0921216,2MFGC02040,6dFJ0235277-092122,AGC420152,HIPASSJ0235-09,IRAS02330-0934,LGG071:[G93]013,MCG-02-07-037,NGC0988,NIBLES0317,PGC009843,UGCA035,[BFK2006]GEMS-N1052-08
NGC3675|11.4356183|43.5864893|163.6611043|66.189926|0.085|0.94|3|Sb|767.5|3.1|10.9642857142857|10.956|0.159|-20.306|8.677|0.09||10.09|31.262|0.1|17.8813303247998|1.771|2MASXJ11260858+4335093,2MIG1581,CGCG214-005,IRAS11234+4351,MCG+07-24-004,NGC3675,PGC035164,UGC06439,UZC112324+43520
NGC2655|8.9273326|78.2234475|134.9228383|32.6888947|0.135|0.92|0.1|S0-a|1385.1|8.6|19.7871425083705|10.979|0.078|-20.937|||11.409|10.394|31.916|0.664|24.165738589832|1.594|2MASXJ08553773+7813230,ARP225,CGCG349-033,CGCG350-007,IRAS08491+7824,LGG165:[G93]003,MCG+13-07-010,NGC2655,PGC025069,PGC2775931,UGC04637,UZC084900+78250
NGC4414|12.4408628|31.2235137|174.5389036|83.1819736|0.084|0.785|5.2|Sc|732.6|9|10.465713936942|10.99|0.07|-20.117|9.07|0.094|11.15|10.196|31.107|0.021|16.6494568488284|1.29|2MASXJ12262708+3113247,AGC007539,ARK365,CGCG158-108,IRAS12239+3129,KUG1223+315,LGG279:[G93]011,MCG+05-29-085,NGC4414,PGC040692,PGC1937346,SDSSJ122627.12+311324.5,UGC07539,UZC122400+31300
NGC7217|22.1312111|31.35925|86.506333|-19.7071395|0.383|0.985|2.5|Sab|951.2|1.3|13.5885716029576|11.032|0.053|-20.075|||11.392|10.467|31.107|0.956|16.6494568488284|1.655|2MASXJ22075236+3121333,2MASXJ22075242+3121329,AGC011914,CGCG494-002,IRAS22056+3106,KIG0947,MCG+05-52-001,NGC7217,PGC068096,UGC11914,UZC220536+31070
NGC4278|12.3352176|29.28064|193.7839398|82.7726496|0.127|1.018|-4.8|E|621.2|6|8.87428588867187|11.04|0.132|-20.295|||11.628|10.215|31.335|0.113|18.4926783929715|1.461|2MASXJ12200679+2916502,2MASXJ12200682+2916498,AGC007386,CGCG158-077,COMA1:[TT2002]02,IRAS12175+2933,LGG279:[G93]017,MCG+05-29-062,NGC4278,PGC039764,SDSSJ122006.82+291650.5,UGC07386,UZC121736+29330,[WTK2001]J122006.76+291649.8
NGC5322|13.8208968|60.1904759|110.2792641|55.4949111|0.06|0.895|-4.8|E|1801.1|4|25.7299996512277|11.049|0.219|-21.395|||11.519|10.139|32.444|0.21|30.8176876309757|1.75|2MASXJ13491520+6011254,CGCG295-017,LGG360:[G93]003,MCG+10-20-035,NGC5322,PGC049044,SDSSJ134915.25+601126.0,UGC08745,UZC134736+60260
NGC2280|6.7469656|-27.6384911|237.3051415|-13.5501483|0.442|0.66|5.9|Sc|1912.3|26.8|27.3185721261161|11.065|0.369|-20.882|9.93|0.186|11.215|11.122|31.947|0.259|24.5132051997703|1.815|2MASXJ06444911-2738189,6dFJ0644491-273818,AGC025325,ESO427-002,ESOLV4270020,HIPASSJ0644-27,IRAS06428-2735,LGG138:[G93]001,MCG-05-16-020,NGC2280,PGC019531,UGCA131
NGC3359|10.776898|63.2241505|143.5966319|48.5921899|0.036|0.535|5.2|Sc|1012.3|1.4|14.4614283970424|11.066|0.109|-20.556|11.454|0.351|13.734|10.554|31.622|0.249|21.1057091076008|1.61|2MASXJ10463684+6313251,2MIG1482,CGCG313-033,HIJASSJ1046+63,IRAS10433+6329,KIG0442,MCG+11-13-037,NGC3359,NIBLES1100,PGC032183,SDSSJ104636.83+631327.3,SDSSJ104636.84+631327.1,SDSSJ104636.85+631327.1,SDSSJ104636.85+631327.2,UGC05873,UZC104318+63300
NGC0157|0.5796624|-8.3964957|110.2762933|-70.8578303|0.193|0.67|4|SABb|1655.1|7|23.6442853655134|11.068|0.09|-21.142|9.524|0.08|11.048|13.111|32.21|0.183|27.6694047882511|1.568|2MASXJ00344675-0823473,2MIG0070,6dFJ0034468-082347,AGC400290,HIPASSJ0034-08,IRAS00322-0840,MCG-02-02-056,NGC0157,PGC002081
NGC5907|15.2648767|56.3291505|91.584898|51.0871952|0.046|0.9|5.2|SABc|667.4|1.6|9.53428606305804|11.069|0.141|-20.113|9.892|0.1||10.369|31.182|0.035|17.2345457535794|2.053|2MASXJ15155368+5619438,2MFGC12346,CGCG274-038,CGCG297-010,EGISJ151553.2+561948,EONJ228.973+56.329,FGC1875,IRAS15146+5629,LGG396:[G93]003,MCG+09-25-040,NGC5907,PGC054470,RFGC2946,SDSSJ151553.77+561943.6,UGC09801,UZC151436+56300
NGC5846|15.1081258|1.6061876|0.4264226|48.7971096|0.241|1.03|-4.8|E|1749|31.8|24.9857142857143|11.098|0.172|-20.886|10.403|0.077|13.901|10.176|31.984|0.189|24.9344532955541|1.63|2MASXJ15062925+0136202,2MASXJ15062929+0136193,CGCG020-061,GIN797,LGG393:[G93]003,MCG+00-38-025,NGC5846,NGC5846:[MTT2005]202,NGC5846:[ZM98]0001,NIBLES2276,PGC053932,SDSSJ150629.16+013620.9,SDSSJ150629.28+013620.2,UGC09706,UZC150400+01460
NGC5363|13.9353444|5.2546944|340.9608721|63.2456879|0.117|1.035|0.1|S0-a|1133.7|2.8|16.1957135881696|11.104|0.114|-20.218|||11.544|10.211|31.322|0.865|18.382310631486|1.62|2MASXJ13560724+0515169,AGC008847,CGCG046-007,IRAS13536+0529,LGG362:[G93]005,MCG+01-36-002,NGC5363,PGC049547,UGC08847,UZC135336+05300
NGC2613|8.5563203|-22.973597|245.3602883|10.0552848|0.385|0.97|3.1|Sb|1676.6|2.8|23.9514282226563|11.11|0.119|-20.968|8.985|0.075|11.49|10.383|32.078|0.277|26.0375323774749|1.882|2MASXJ08332284-2258252,2MFGC06735,6dFJ0833228-225825,CGMW2-03822,ESO495-018,ESOLV4950180,HIPASSJ0833-22,IRAS08311-2248,MCG-04-21-003,NGC2613,PGC023997,UGCA141
NGC0488|1.3630111|5.2566944|136.8205822|-56.7946022|0.133|0.965|2.9|Sb|2268.8|1.8|32.4114292689732|11.127|0.078|-21.419|8.965|0.136|11.477|10.255|32.546|0.489|32.2998337410105|1.703|2MASXJ01214684+0515241,AGC000907,CGCG411-033,HIPASSJ0121+05,IRAS01191+0459,LGG021:[G93]003,MCG+01-04-033,NGC0488,PGC004946,UGC00907,UZC011912+05000
NGC0720|1.8834779|-13.7385851|173.0193295|-70.3571893|0.069|0.99|-4.9|E|1717.3|11.6|24.5328578404018|11.138|0.157|-21.049|9.315|0.072|11.608|10.141|32.187|0.17|27.3778950871875|1.652|2MASXJ01530052-1344192,6dFJ0153005-134419,LGG038:[G93]003,MCG-02-05-068,NGC0720,PGC006983
NGC2775|9.1722557|7.0379658|223.2657963|33.9876575|0.187|0.96|1.6|Sab|1353.9|2|19.3414289202009|11.144|0.102|-20.31|||11.524|10.244|31.454|0.831|19.5344008192562|1.628|2MASXJ09102011+0702165,2MASXJ09102015+0702160,AGC004820,CGCG034-006,IRAS09076+0714,KIG0309,LGG169:[G93]002,MCG+01-24-005,NGC2775,NIBLES0811,PGC025861,SDSSJ091020.13+070216.8,UGC04820,UZC090742+07150
NGC4030|12.0065571|-1.100072|277.3698823|59.2146303|0.115|0.88|4|Sbc|1461.8|2|20.8828578404018|11.149|0.19|-20.912|9.513|0.219|12.03|10.51|32.061|0.351|25.8345061955982|1.581|2MASXJ12002364-0105598,6dFJ1200236-010600,CGCG013-033,EVCC0072,GAMA031520,GAMAJ120023.62-010600.3,HIPASSJ1200-01,HIPEQJ1200-01,IRAS11578-0049,LGG264:[G93]002,MCG+00-31-016,NGC4030,NIBLES1481,PGC037845,PGC1126734,SDSSJ120023.62-010600.2,UGC06993,UZC115748-00480,[FN2007]1006
NGC4261|12.3231028|5.8249555|281.8044103|67.3725221|0.077|1.005|-4.8|E|2222.1|17|31.744287109375|11.184|0.122|-21.333|10.072|0.334|13.37|11.109|32.517|0.118|31.8712911869896|1.628|2MASXJ12192326+0549289,3C270,4C+06.44,CGCG042-013,EVCC0342,LGG278:[G93]006,MCG+01-31-052,MRC1216+061,NGC4261,PGC039659,SDSSJ121922.98+054930.4,SDSSJ121923.21+054929.7,UGC07360,UZC121648+06060,VCC0345
NGC2336|7.451125|80.1780556|133.958116|28.2168068|0.143|0.735|4|Sbc|2201.7|3.2|31.4528564453125|11.191|0.136|-21.395|||11.251|10.676|32.586|0.24|32.9002885584063|1.7|2MASXJ07270405+8010410,CGCG348-034,CGCG349-004,IRAS07184+8016,KPG132A,MCG+13-06-006,NGC2336,PGC021033,UGC03809,UZC071800+80160
NGC0936|2.4603956|-1.1559721|168.5735097|-55.2638109|0.153|0.985|-1.2|S0-a|1432|5|20.4571428571429|11.194|0.057|-20.165|9.403|0.587|11.754|10.232|31.359|0.034|18.6982021392066|1.649|2MASXJ02273746-0109226,6dFJ0227375-010922,CGCG388-018,GIN774,HIPASSJ0227-01,LGG060:[G93]002,MCG+00-07-017,NGC0936,PGC009359,SDSSJ022737.44-010921.6,UGC01929,UZC022506-01230
NGC1332|3.438118|-21.3353431|212.1828344|-54.3664298|0.14|1.015|-2.9|E-S0|1526.6|7|21.8085710797991|11.198|0.149|-20.579|9.095|0.079|11.788|10.361|31.777|0.18|22.6673152891921|1.726|2MASXJ03261732-2120073,6dFJ0326173-212007,ESO548-018,ESOLV5480180,IRAS03240-2130,LGG097:[G93]003,MCG-04-09-011,NGC1332,PGC012838,UGCA072
NGC5061|13.301417|-26.8371305|310.2510181|35.6556692|0.297|0.95|-4.3|E|2035|19.3|29.0714285714286|11.208|0.14|-21.104|||11.638|10.309|32.312|0.034|29.0001373586163|1.574|2MASXJ13180505-2650139,6dFJ1318051-265014,ESO508-038,ESOLV5080380,LGG341:[G93]002,MCG-04-31-048,NGC5061,PGC046330
NGC2985|9.8394635|72.279194|139.0130574|38.6824339|0.117|0.84|2.4|Sab|1323|3|18.9|11.215|0.075|-20.594|8.996|0.078||10.512|31.809|0.693|23.0038222445165|1.558|2MASXJ09502223+7216431,CGCG332-067,CGCG333-004,HIJASSJ0950+72,IRAS09458+7230,IRAS09459+7230,MCG+12-10-006,NGC2985,PGC028316,UGC05253,UZC094548+72310
NGC4643|12.7222522|1.9784809|298.1770045|64.7753842|0.132|0.99|-0.5|S0-a|1328.1|1.7|18.9728567940848|11.225|0.24|-20.354|9.652|0.355|13.028|10.648|31.579|0.78|20.6918868369035|1.35|2MASXJ12432013+0158422,AGC007895,CGCG015-008,EVCC2212,IRAS12407+0215,LAMOSTJ124320.28+015841.7,LGG315:[G93]002,MCG+00-33-005,NGC4643,PGC042797,SDSSJ124320.13+015841.7,SDSSJ124320.14+015841.7,UGC07895,UZC124048+02160
NGC3169|10.2374414|3.4664709|238.2004762|45.6465398|0.134|0.895|1.2|Sa|1231.7|5.4|17.5957135881696|11.254|0.09|-20.264|8.609|1.312|11.514|10.895|31.518|0.03|20.118700699921|1.637|2MASXJ10141509+0327580,AGC005525,CGCG036-066,HIPASSJ1014+03,HIPEQJ1014+03,IRAS10116+0342,IRAS10116+0343,KPG228B,LGG192:[G93]004,MCG+01-26-026,NGC3169,NIBLES1006,PGC029855,UGC05525,UZC101142+03430
NGC3147|10.281577|73.4007336|136.2899788|39.4632777|0.105|0.93|3.9|Sbc|2814.1|2.4|40.2014299665179|11.255|0.146|-21.689||||11.942|32.944|0.018|38.79717009137|1.614|2MASXJ10165363+7324023,CGCG333-022,HIJASSJ1017+73,IRAS10126+7339,LGG193:[G93]001,MCG+12-10-025,NGC3147,PGC030019,UGC05532,UZC101242+73380
NGC3898|11.8209178|56.0843617|139.7915111|58.9619247|0.089|0.94|1.7|Sab|1173|2.3|16.7571428571429|11.257|0.344|-20.322|9.486|0.078|11.657|10.719|31.579|0.769|20.6918868369035|1.54|2MASXJ11491536+5605036,CGCG268-088,CGCG269-002,IRAS11465+5621,LAMOSTJ114915.29+560503.1,LGG250:[G93]005,MCG+09-19-204,NGC3898,PGC036921,SDSSJ114915.24+560504.2,UGC06787,UZC114630+56200
NGC5371|13.9277613|40.4616986|82.1727506|71.1961799|0.042|0.78|4|Sbc|2578|21|36.8285714285714|11.278|0.213|-21.482|11.425|0.137|14.864|11.686|32.76|0.263|35.6450857902982|1.6|2MASXJ13554002+4027423,CGCG219-029,IRAS13535+4042,LGG361:[G93]011,MCG+07-29-020,NGC5371,NGC5390,NIBLES1974,PGC049514,SDSSJ135539.94+402742.3,UGC08846,UZC135330+40420
NGC4596|12.6655391|10.1761628|293.2990193|72.8323439|0.094|0.97|-0.8|S0-a|1878.9|7.5|26.8414289202009|11.298|0.132|-21|9.717|0.083|12.532|10.455|32.298|0.548|28.8137688027893|1.594|2MASXJ12395593+1010337,CGCG070-206,EVCC1012,MCG+02-32-170,NGC4596,NIBLES1705,PGC042401,SDSSJ123955.94+101034.0,UGC07828,UZC123724+10270,VCC1813,[RG2008]J189.98311+10.17614
NGC0584|1.5224262|-6.868085|149.8053487|-67.6333733|0.183|0.96|-4.7|E|1849.6|26.3|26.4228567940848|11.309|0.25|-20.236|9.373|0.354|11.799|10.35|31.545|0.191|20.370421492765|1.578|2MASXJ01312075-0652050,6dFJ0131207-065205,GIN794,IC1712,LGG027:[G93]001,MCG-01-04-060,NGC0584,PGC005663
NGC1425|3.7031901|-29.8933766|227.5200116|-52.5992711|0.056|0.755|3.3|Sb|1511.2|1.8|21.5885707310268|11.321|0.116|-20.351|9.832|0.032|11.431|10.704|31.672|0.034|21.5973356091467|1.691|2MASXJ03421153-2953366,2MASXJ03421154-2953366,2MIG0446,6dFJ0342115-295336,AGC022873,ESO419-004,ESOLV4190040,HIPASSJ0342-29,IRAS03401-3002,IRAS03401-3003,LGG096:[G93]032,MCG-05-09-023,NGC1425,PGC013602,UGCA084
NGC4274|12.3307163|29.6143394|191.4004048|82.6208987|0.097|0.98|1.7|SBab|917.3|2.8|13.1042855398996|11.325|0.153|-20.068|8.972|0.077|11.765|10.416|31.393|0.339|18.9932782125016|1.56|2MASXJ12195066+2936529,AGC007377,CGCG158-071,COMA1:[TT2002]01,IRAS12173+2953,LGG279:[G93]004,MCG+05-29-060,NGC4274,PGC039724,PGC1872154,SDSSJ121950.59+293652.9,UGC07377,UZC121718+29540,[WTK2001]J121950.60+293649.2
NGC3640|11.3519165|3.2348187|256.9255991|57.7988186|0.185|0.94|-4.7|E|1314.8|29.6|18.7828578404018|11.337|0.16|-20.8|||11.867|10.413|32.137|0.13|26.7547075107968|1.636|2MASXJ11210685+0314051,CGCG039-130,LAMOSTJ112106.85+031405.5,LGG233:[G93]003,MCG+01-29-033,NGC3640,PGC034778,UGC06368,UZC111830+03300
NGC5746|14.7488708|1.9549057|354.9658373|52.9558253|0.173|1.055|3|Sb|1711.4|6.6|24.4485717773438|11.344|0.145|-20.816|9.579|0.268|11.764|10.548|32.16|0.318|27.0395817410353|1.86|2MASXJ14445600+0157170,AGC009499,CGCG020-012,EGISJ144455.9+015718,EONJ221.233+01.955,GAMA251941,GAMAJ144455.92+015717.8,IRAS14424+0209,KPG434B,LGG386:[G93]005,MCG+00-38-005,NGC5746,PGC052665,UGC09499,UZC144230+02100
NGC1187|3.0437745|-22.8671808|212.09094|-60.0562165|0.093|0.65|5|Sc|1391|2.6|19.8714285714286|11.365|0.098|-20.024|||11.315|10.921|31.389|0.162|18.9583260365957|1.619|2MASXJ03023758-2252017,6dFJ0302376-225202,DUKST480-001,ESO480-023,ESOLV4800230,HIPASSJ0302-22,IRAS03003-2303,IRAS03004-2303,MCG-04-08-016,NGC1187,PGC011479,UGCA049
NGC4651|12.7285167|16.3935072|293.0697252|79.1169768|0.116|0.755|5.1|Sc|799.8|1.5|11.4257141113281|11.37|0.062|-20.456|9.769|0.175|12.26|10.816|31.826|0.18|23.184623234966|1.588|2MASXJ12434262+1623362,AGC007901,ARP189,CGCG100-004,EVCC1102,HIPASSJ1243+16,IRAS12412+1639,IRAS12412+1640,KIG0549,LGG289:[G93]096,MCG+03-33-001,NGC4651,PGC042833,SDSSJ124342.64+162335.9,UGC07901,UZC124118+16400,VV056
NGC7507|23.2021036|-28.539653|23.4427836|-68.0381282|0.213|0.995|-4.5|E|1606.6|7.3|22.9514282226563|11.371|0.187|-20.596|||11.931|10.042|31.967|0.17|24.7400065794498|1.523|2MASXJ23120759-2832227,6dFJ2312076-283223,DUKST469-001,ESO469-019,ESOLV4690190,MCG-05-54-022,NGC7507,PGC070676
NGC0524|1.41325|9.5387778|136.5054626|-52.4516393|0.357|1.07|-1.2|S0-a|2422.6|36.6|34.6085728236607|11.404|0.217|-21.161|||12.004|10.354|32.565|0.033|32.5836494935162|1.527|2MASXJ01244770+0932196,CGCG411-051,IRAS01221+0916,LGG023:[G93]005,MCG+01-04-053,NGC0524,PGC005222,UGC00968,UZC012206+09170
